,1,2,3,4,5,6,7,8,9,10
10,1.571,3.206,7.718,13.96,20.991,30.86,32.78,50.821,63.224,74.176
9,2.356,5.411,10.068,17.332,29.034,41.027,60.514,65.825,71.849,93.328
8,2.883,6.448,13.101,27.408,41.397,48.439,71.233,82.612,99.898,101.774
7,4.085,7.557,23.752,37.181,49.591,75.422,74.724,92.902,98.873,114.089
6,6.156,17.348,26.039,46.526,66.437,81.635,111.181,115.558,128.366,144.553
5,8.918,22.756,42.164,71.308,80.822,122.66,120.765,119.558,145.567,158.938
4,16.783,32.958,65.94,79.48,125.239,126.592,138.715,158.624,172.012,178.602
3,29.198,67.243,93.73,115.587,135.797,164.353,183.519,197.279,202.786,213.98
2,75.985,124.626,160.726,180.66,191.515,210.055,214.049,208.173,223.044,243.999
1,195.119,241.474,249.671,237.727,242.488,235.628,251.186,254.775,253.349,259.333
