,0,1,2,3,4,5,6,7,8,9
0,61.08,35.66,28.63,25.57,23.83,22.29,21.79,21.21,20.69,20.4
1,35.12,25.55,22.79,21.04,20.13,19.58,19.32,18.73,18.76,18.36
2,21.51,19.07,18.26,18.26,17.89,17.83,17.45,17.32,17.51,17.26
3,12.85,13.55,15.28,15.99,15.78,16.02,16.24,16.2,16.47,16.52
4,8.48,9.17,12.6,13.85,14.35,15.08,15.04,15.47,15.44,15.72
5,5.83,6.68,9.92,12.06,13.24,13.75,14.22,14.49,14.76,14.86
6,4.42,4.74,7.87,10.51,12.01,12.89,13.61,13.74,14.16,14.33
7,3.34,4.02,6.12,9.19,10.67,11.57,12.77,13.29,13.64,13.85
8,2.62,2.82,4.97,7.49,9.55,10.99,11.66,12.55,13.12,13.37
9,1.86,1.99,4.05,6.57,8.33,10.08,10.94,11.89,12.35,12.91
