,cc,md
0,0.3131507738176855,5.523
1,0.30647185453435427,5.169
2,0.29882007437007435,5.161
3,0.2981135891885888,4.759
4,0.29026368492618526,4.916
5,0.2989509240759243,4.86
6,0.34912254365002027,6.412
7,0.2999611022620311,5.674
8,0.35481490592740605,6.06
9,0.37065286935286973,6.184
10,0.29250852480852507,4.947
11,0.33694729992229944,5.581
12,0.28859801587301576,4.439
13,0.3385872044622042,5.835
14,0.33124954767454756,5.714
15,0.32291825396825397,4.971
16,0.3887310133493955,7.295
17,0.3330196817071819,5.314
18,0.3205450216450216,5.283
19,0.34995590773605467,6.058
20,0.32451461038961027,5.241
21,0.3359988677172502,5.843
22,0.3437788754717935,5.863
23,0.33442332944832914,5.552
24,0.32358823953823895,4.923
