,cc,md
0,0.23024350649350642,5.79
1,0.2630018037518037,4.87
2,0.3712831057831058,7.09
3,0.21162698412698408,4.34
4,0.17192099567099567,4.2
5,0.3031125263625264,5.32
6,0.375271201021201,6.74
7,0.246063492063492,5.42
8,0.21478282828282833,5.33
9,0.29330303030303034,5.57
10,0.3145815573315573,5.16
11,0.19877200577200566,4.06
12,0.3146047008547008,6.18
13,0.3349844877344878,5.47
14,0.33485278610278607,5.04
15,0.28896969696969693,4.88
16,0.16767460317460314,4.19
17,0.30113708513708526,5.3
18,0.37561915861915857,6.83
19,0.3549788299935358,6.93
20,0.1982777777777777,4.33
21,0.37410533910533905,5.34
22,0.19061291486291487,4.19
23,0.40143742205506916,7.02
24,0.22988492063492064,4.29
