,1,2,3,4,5,6,7,8,9,10
10,1.719,4.391,7.566,11.378,18.029,26.716,35.659,38.061,54.146,58.382
9,1.844,4.156,10.811,13.97,21.701,33.318,44.043,49.801,64.451,72.74
8,2.468,5.592,9.299,18.974,29.933,40.625,59.526,63.298,66.842,79.793
7,3.375,8.569,17.882,30.869,39.731,50.036,73.027,76.139,84.073,101.778
6,4.616,10.779,29.783,39.817,51.657,69.315,69.065,101.488,95.197,104.567
5,7.339,16.39,39.168,61.908,75.679,82.81,96.921,113.493,122.006,115.644
4,12.455,30.398,51.739,77.126,99.865,106.183,108.121,128.566,132.416,143.557
3,27.756,62.627,79.992,105.516,111.821,124.995,138.909,153.199,166.357,163.177
2,62.919,99.096,130.47,146.449,155.911,171.43,164.012,164.593,181.342,186.247
1,159.03,172.296,192.982,184.554,184.854,199.077,198.759,202.42,207.367,208.234
